race_id	title	info1	info2	around_dir	around_inout	course_abc
202301020110	羊ヶ丘特別(2勝)	['芝右1500m', '天候:晴', '芝:良', '発走:14:50', '過去の羊ヶ丘特別']	['2023年8月12日', '2回札幌1日目', '3歳以上2勝クラス', '混', '特指', '定量']			
202301020111	報知杯大雪ハンデ(3勝)	['ダ右1700m', '天候:晴', 'ダート:良', '発走:15:25', '過去の報知杯大雪ハンデ']	['2023年8月12日', '2回札幌1日目', '3歳以上3勝クラス', '混', '指', 'ハンデ']			
202301020112	3歳以上1勝クラス	['芝右1200m', '天候:晴', '芝:良', '発走:16:05']	['2023年8月12日', '2回札幌1日目', '3歳以上1勝クラス', '混', '特指', '定量']			
202301020201	2歳未勝利	['芝右1200m', '天候:曇', '芝:良', '発走:09:50']	['2023年8月13日', '2回札幌2日目', '2歳未勝利', '混', '指', '馬齢']			
202301020202	3歳未勝利	['ダ右2400m', '天候:晴', 'ダート:良', '発走:10:20']	['2023年8月13日', '2回札幌2日目', '3歳未勝利', '指', '馬齢']			
202301020203	3歳未勝利	['ダ右1700m', '天候:晴', 'ダート:良', '発走:10:50']	['2023年8月13日', '2回札幌2日目', '3歳未勝利', '指', '馬齢']			
202301020204	3歳未勝利	['芝右1500m', '天候:曇', '芝:良', '発走:11:20']	['2023年8月13日', '2回札幌2日目', '3歳未勝利', '混', '指', '馬齢']			
202301020205	2歳新馬	['芝右1800m', '天候:曇', '芝:良', '発走:12:10']	['2023年8月13日', '2回札幌2日目', '2歳新馬', '混', '指', '馬齢']			
202301020206	3歳以上1勝クラス	['ダ右1700m', '天候:雨', 'ダート:良', '発走:12:40']	['2023年8月13日', '2回札幌2日目', '3歳以上1勝クラス', '指', '定量']			
202301020207	3歳以上1勝クラス	['芝右1500m', '天候:曇', '芝:良', '発走:13:10']	['2023年8月13日', '2回札幌2日目', '3歳以上1勝クラス', '牝', '指', '定量']			
202301020208	コスモス賞(OP)	['芝右1800m', '天候:曇', '芝:良', '発走:13:40', '過去のコスモス賞']	['2023年8月13日', '2回札幌2日目', '2歳オープン', '国際', '特指', '別定']			
202301020209	おおぞら特別(2勝)	['ダ右1000m', '天候:曇', 'ダート:良', '発走:14:15', '過去のおおぞら特別']	['2023年8月13日', '2回札幌2日目', '3歳以上2勝クラス', '混', '指', '定量']			
202301020210	藻岩山特別(2勝)	['芝右2000m', '天候:曇', '芝:良', '発走:14:50', '過去の藻岩山特別']	['2023年8月13日', '2回札幌2日目', '3歳以上2勝クラス', '混', '特指', '定量']			
202301020211	UHB賞(OP)	['芝右1200m', '天候:曇', '芝:良', '発走:15:25', '過去のUHB賞']	['2023年8月13日', '2回札幌2日目', '3歳以上オープン', '国際', '特指', '別定']			
202301020212	3歳以上1勝クラス	['ダ右1700m', '天候:曇', 'ダート:良', '発走:16:05']	['2023年8月13日', '2回札幌2日目', '3歳以上1勝クラス', '混', '特指', '定量']			
