horse_id	date	rank	prize	rank_diff	weather	race_type	course_len	ground_state	agari	race_class	n_horses
2012103532	2016-02-14	6	0.0	0.4	1.0	1	2600	2.0	37.0	2.0	16.0
2012103532	2016-02-28	7	0.0	0.3	0.0	1	2600	0.0	35.5	2.0	13.0
2012103532	2016-04-16	5	75.0	0.8	0.0	1	2000	0.0	36.1	2.0	15.0
2012103532	2016-05-01	2	300.0	0.2	0.0	1	2400	0.0	34.0	2.0	10.0
2012103532	2016-05-22	1	750.0	0.0	0.0	1	2200	0.0	34.8	2.0	12.0
2012103532	2016-06-11	3	263.4	0.7	0.0	1	2400	0.0	34.2	5.0	11.0
2012103532	2016-07-09	2	300.0	0.2	1.0	1	2200	3.0	37.5	2.0	10.0
2012103532	2016-08-21	4	160.0	1.0	0.0	1	2000	0.0	36.2	5.0	8.0
2012103532	2016-09-04	2	300.0	0.2	1.0	1	2600	0.0	35.8	2.0	16.0
2012103532	2016-12-03	5	70.0	0.5	0.0	1	2200	0.0	34.5	2.0	18.0
2012103532	2016-12-18	7	0.0	0.5	0.0	1	2200	0.0	35.1	2.0	17.0
2012103532	2017-01-14	6	0.0	0.8	1.0	1	2200	0.0	36.3	2.0	16.0
2012103532	2017-01-29	4	160.0	0.3	1.0	1	2200	0.0	34.2	5.0	9.0
2012103532	2017-02-12	1	750.0	0.0	0.0	1	2600	0.0	36.0	2.0	15.0
2012103532	2017-04-16	4	230.0	0.4	0.0	1	2600	0.0	36.7	5.0	16.0
2012103532	2017-10-29	5	150.0	1.0	3.0	1	2200	3.0	39.0	5.0	9.0
2012103532	2017-11-18	8	0.0	0.5	1.0	1	2600	0.0	36.2	3.0	16.0
2012103532	2017-12-24	4	230.0	0.9	1.0	1	2400	0.0	34.8	5.0	10.0
2012103532	2018-01-21	1	1530.1	0.0	0.0	1	2400	0.0	35.4	3.0	13.0
2012103532	2018-02-11	4	270.0	1.2	1.0	1	2400	1.0	36.8	4.0	9.0
2012103532	2018-03-10	7	0.0	0.5	0.0	1	2500	2.0	36.0	4.0	12.0
2012103532	2018-04-01	9	0.0	0.7	0.0	1	2400	0.0	33.5	4.0	11.0
2012103532	2018-04-28	5	182.0	0.6	0.0	1	2400	0.0	35.2	4.0	12.0
2012103532	2018-06-03	9	0.0	0.8	0.0	1	2400	0.0	35.2	4.0	12.0
2012103532	2018-07-07	7	0.0	2.0	3.0	2	2750	2.0	13.5	1.0	14.0
2012103532	2018-10-21	4	120.0	2.2	0.0	2	2850	0.0	13.0	1.0	14.0
2012103532	2018-11-11	2	310.0	0.2	0.0	2	2750	0.0	13.1	1.0	14.0
2012103532	2018-12-02	9	0.0	3.1	0.0	2	2970	0.0	13.8	1.0	11.0
2012103532	2019-02-02	4	120.0	0.7	0.0	2	3000	0.0	13.5	1.0	14.0
2012103532	2019-03-03	6	0.0	3.2	1.0	2	2970	0.0	13.7	1.0	14.0
2012103532	2019-04-14	1	780.0	0.0	0.0	2	2750	0.0	13.1	1.0	13.0
2012103532	2019-05-04	5	135.0	2.1	0.0	2	3290	0.0	13.2	5.0	14.0
2012103532	2019-08-31	8	0.0	1.5	0.0	2	2860	2.0	13.5	5.0	11.0
2012103532	2019-10-05	2	540.0	0.1	0.0	2	2850	2.0	13.1	5.0	14.0
2012103532	2019-10-26	2	540.0	0.1	3.0	2	2850	1.0	13.0	5.0	12.0
2012103532	2019-11-16	8	0.0	2.6	0.0	2	3110	0.0	13.5	5.0	14.0
2012103532	2019-12-14	2	540.0	0.2	0.0	2	3300	0.0	13.1	5.0	13.0
2012103532	2020-02-16	3	340.0	0.7	2.0	2	3170	1.0	14.2	5.0	13.0
2012103532	2020-03-07	7	0.0	2.6	0.0	2	3300	0.0	13.2	5.0	14.0
2012103532	2020-03-28	2	540.0	1.1	1.0	2	3330	2.0	13.2	5.0	14.0
